ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 008-1.tif;15;48.881.073;3.258.738;10.373;0.717;0.944
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 009-1.tif;22;58.679.931;2667.27;12.453;0.796;0.964
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 010-1.tif;14;31148.48;2.224.891;6.61;0.704;0.917
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 001-1.tif;63;193.301.969;3.068.285;8.63;0.787;0.944
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 002-1.tif;56;201.060.485;3.590.366;8.976;0.784;0.944
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 003-1.tif;51;173.639.976;3.404.705;7.752;0.724;0.941
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 004-1.tif;76;242.583.162;3.191.884;10.83;0.732;0.935
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 005-1.tif;86;263.756.337;3.066.934;11.775;0.703;0.921
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 006-1.tif;102;248.621.252;2.437.463;11.099;0.745;0.941
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 007-1.tif;75;186.265.832;2.483.544;8.316;0.738;0.929
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 008-1.tif;72;203.672.676;2.828.787;9.093;0.752;0.945
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 009-1.tif;71;211.852.994;2.983.845;9.458;0.762;0.947
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 010-1.tif;77;194417.92;2.524.908;8.68;0.726;0.936
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 011-1.tif;85;166.544.057;1.959.342;7.435;0.756;0.929
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 001-1.tif;46;133.254.323;2.896.833;7.051;0.761;0.94
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 002-1.tif;53;126.268.612;2.382.427;6.682;0.734;0.929
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 003-1.tif;59;121.978.701;2.067.436;6.455;0.735;0.928
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 004-1.tif;29;86.472.591;2.981.813;4.576;0.752;0.938
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 005-1.tif;43;114.475.529;2.662.222;6.058;0.753;0.934
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 006-1.tif;55;133.633.237;2.429.695;7.071;0.733;0.932
